restaurant;in;address1;address2;address3;neighborhood;phone;type
Formaggio Essex;;120 Essex St;at Delancey St;;Lower East Side;(212-982-8200);Food or Beverage Shop
Forte Baden Baden;;28 W 32nd St;between Fifth Ave and Broadway;;Midtown West;(212-714-2266);Korean
Franchia;;12 Park Ave;between 34th and 35th Sts;;Midtown East;(212-213-1001);Korean
Francisco’s Centro Vasco;;159 W 23rd St;between Sixth and Seventh Aves;;Chelsea;(212-645-6224);Seafood
Frank;;88 Second Ave;between 5th and 6th Sts;;East Village;(212-420-0202);Italian
Frankie & Johnnie’s;;32 W 37th St;between Fifth and Sixth Aves;;Midtown West;(212-947-8940);Steakhouses
Frankie & Johnnie’s Steakhouse;269 W 45th St;;between Broadway and Eighth Ave;second floor;Midtown West;(212-997-9494);Steakhouses
Frankie's;;176 Second Ave;between 11th and 12th Sts;;East Village;(212-253-7300);Indian
Frankies Spuntino 17 Clinton Street;;17 Clinton St;between Houston and Stanton Sts;;Lower East Side;(212-253-2303);Italian
Frank’s Restaurant (CLOSED);;410 W 16th St;between Ninth and Tenth Aves;;Chelsea;(212-243-1349);Steakhouses
Fraunces Tavern;;54 Pearl St;at Broad St;;Financial District;(212-968-1776);American
Frederick’s;;8 W 58th St;between Fifth and Sixth Aves;;Midtown West;(212-752-6200);Mediterranean
Frederick’s Downtown;;637 Hudson St;at Horatio St;;West Village;(212-488-4200);Mediterranean
Frederick’s Madison;;768 Madison Ave;between 65th and 66th Sts;;Upper East Side;(212-737-7300);Mediterranean
Frederick’s on Madison;;768 Madison Ave;between 65th and 66th Sts;;Upper East Side;(212-737-7300);French
Fred’s at Barneys;660 Madison Ave;;at 61st St;ninth floor;Upper East Side;(212-833-2200);Italian
FreeFoods NYC;;18 W 45th St;between Fifth and Sixth Aves;;Midtown West;(212-249-4529);Cafés & diners
FreeFoods NYC;;150 E 52nd St;between Lexington and Third Aves;;Midtown East;(212-371-1945);Cafés & diners
Freemans;;Freeman Alley off Rivington St;between Bowery and Chrystie St;;Lower East Side;(212-420-0012);American
French Roast;;2340 Broadway;at 85th St;;Upper West Side;(212-799-1533);Cafés
French Roast;;78 W 11th St;at Sixth Ave;;West Village;(212-533-2233);Cafés
Fresco by Scotto;;34 E 52nd St;between Madison and Park Aves;;Midtown East;(212-935-3434);Italian
Fresco by Scotto on the Go;;114 Pearl St;at Hanover Sq;;Financial District;(212-635-5000);Italian
Fresco on the Go;;40 E 52nd St;between Madison and Park Aves;;Midtown East;(212-754-2700);Italian
Fresh;;105 Reade St;at West Broadway;;Tribeca;(212-406-1900);Seafood
Friedman’s Delicatessen;;75 Ninth Ave;at 16th St;;Chelsea;(212-929-7100);American
Friedman’s Lunch;75 Ninth Ave;;;;;;
Friend House;;99 Third Ave;between 12th and 13th Sts;;East Village;(212-388-1838);Thai
Friend House 2;;225 E 14th St;between Second and Third Aves;;East Village;(212-614-8814);Thai
Friend of a Farmer;;77 Irving Pl;between 18th and 19th Sts;;Gramercy/Flatiron;(212-477-2188);American
Friends 2 Sushi (CLOSED);;132 St. Marks Pl;at Ave A;;East Village;(212-598-1188);Thai
Frog;;71 Spring St;between Crosby and Lafayette Sts;;Chinatown/Little Italy;(212-966-5050);Eclectic
Frog (CLOSED);71 Spring St;;;;;;
From Atlantis with Love;...;;;;;;
From Atlantis with Love;;E 2nd St;at the Bowery;;East Village;;Middle Eastern
Fuleen Seafood;;11 Division St;between Confucius Pl and East Broadway;;Chinatown/Little Italy;(212-941-6888);Chinese
Fulton;;205 E 75th St;between Second and Third Aves;;Upper East Side;(212-288-6600);Seafood
Funayama;;24 Greenwich Ave;between Charles and W 10th Sts;;West Village;(212-989-2500);Japanese
Fusia;;972 Second Ave;between 51st and 52nd Sts;;Midtown East;(212-421-2294);Asian: Pan-Asian
Félix;;340 West Broadway;at Grand St;;Soho;(212-431-0021);French
Gaam (CLOSED);;11 W 30th St;between Fifth Ave and Broadway;;Midtown West;(212-239-0666);Indian
Gabriela’s Restaurante and Tequila Bar;;688 Columbus Ave;between 93rd and 94th Sts;;Upper West Side;(212-961-9600);Mexican
Gabriel’s Bar & Restaurant;;11 W 60th St;between Broadway and Columbus Ave;;Upper West Side;(212-956-4600);Italian
Gaby;Sofitel;;44 W 45th St;between Fifth and Sixth Aves;Midtown West;(212-782-3040);French
Galanga;;149 W 4th St;between Sixth Ave and MacDougal St;;Greenwich Village;(212-228-4267);Thai
Galaxy Global Eatery;;15 Irving Pl;at 15th St;;Gramercy/Flatiron;(212-777-3631);Eclectic
Gallagher’s Steak House;;228 W 52nd St;between Broadway and Eighth Ave;;Midtown West;(212-245-5336);Steakhouses
Gallo Nero;;404 W 44th St;at Ninth Ave;;Midtown West;(212-265-6660);Italian
Gari;;370 Columbus Ave;between 77th and 78th Sts;;Upper West Side;(212-362-4816);Japanese
Gascogne;;158 Eighth Ave;between 17th and 18th Sts;;Chelsea;(212-675-6564);French
Gasparino’s (CLOSED);;308 E 6th St;between First and Second Aves;;East Village;(212-677-2499);Italian
Gavroche;;212 W 14th St;between Seventh and Eighth Aves;;West Village;(212-647-8553);French
Gazala Place;;709 Ninth Ave;between 48th and 49th Sts;;Midtown West;(212-245-0709);Middle Eastern
Geisha;;33 E 61st St;between Madison and Park Aves;;Upper East Side;(212-813-1112);Asian: Pan-Asian
Gemma;The Bowery Hotel;;335 Bowery;at 3rd St;East Village;(212-505-9100);Italian
General Store;;29 Ave B;between 2nd and 3rd Sts;;East Village;(212-254-0055);American
Gene’s;;73 W 11th St;between Fifth and Sixth Aves;;Greenwich Village;(212-675-2048);Italian
Gennaro;;665 Amsterdam Ave;between 92nd and 93rd Sts;;Upper West Side;(212-665-5348);Italian
George O’Neill’s;;145 E 50th St;between Lexington and Third Aves;;Midtown East;(212-888-1220);Steakhouses
Georgia’s Eastside BBQ;;192 Orchard St;between Houston and Stanton Sts;;Lower East Side;(212-253-6280);Barbeque
Ghenet;;284 Mulberry St;between Houston and Prince Sts;;Chinatown/Little Italy;(212-343-1888);African: Ethiopian
Giano;;126 E 7th St;between First Ave and Ave A;;East Village;(212-673-7200);Italian
Giardino D'Oro;;5 Gold St;between Maiden Ln and Platt St;;Financial District;(212-514-6400);Italian
Gigi Cafe & Grill;;2067 Broadway;between 71st and 72nd Sts;;Upper West Side;(212-501-7500);Cafés
Gigino Trattoria;;323 Greenwich St;between Duane and Reade Sts;;Tribeca;(212-431-1112);Italian
Gigino at Wagner Park;;20 Battery Pl;at West St;;Financial District;(212-528-2228);Italian
Gilileo;;176 W 94th St;at Amsterdam Ave;;Upper West Side;(646-403-3215);Cafés
Gilt;;455 Madison Ave;between 50th and 51st Sts;;Midtown East;(212-891-8100);Eclectic
Gimme! Coffee;;228 Mott St;between Prince and Spring Sts;;Chinatown/Little Italy;(212-226-4011);Cafés & diners
Gin Lane (CLOSED);;355 W 14th St;at Ninth Ave;;Meatpacking District;(212-691-0555);American
Ginger (CLOSED);;1400 Fifth Ave;at 116th St;;Harlem;(212-423-1111);Chinese
Gino;;780 Lexington Ave;between 60th and 61st Sts;;Upper East Side;(212-758-4466);Italian
Giorgione;;307 Spring St;at Hudson St;;Soho;(212-352-2269);Italian
Giorgione 508 (CLOSED);;508 Greenwich St;at Spring St;;Soho;(212-219-2444);Italian
Giorgio’s of Gramercy;;For a restaurant with all the finery of a members-only spot (velvet curtains;hushed lighting and an army of silent;;uniformed waitstaff);Giorgio’s is one of...;American
Giorgio’s of Gramercy;;27 E 21st St;between Broadway and Park Ave South;;Gramercy/Flatiron;(212-477-0007);American
Girasole;;151 E 82nd St;between Lexington and Third Aves;;Upper East Side;(212-772-6690);Italian
Gnocco Cucina & Tradizione;;337 E 10th St;between Aves A and B;;East Village;(212-677-1913);Italian
GoGo Curry;;273 W 38th St;between Seventh and Eighth Aves;;Gramercy/Flatiron;(212-730-5555);Japanese
Goblin Market (CLOSED);;199 Prince St;at Sullivan St;;Soho;(212-375-8275);American Creative
Gobo;;1426 Third Ave;at 81st St;;Upper East Side;(212-288-4686);Vegetarian & Organic
Gobo;;401 Sixth Ave;between Waverly Pl and W 8th St;;West Village;(212-255-3242);Vegetarian & Organic
Gold St;;2 Gold St;between Maiden Ln and Platt St;;Financial District;(212-747-0797);Cafés & diners
Golden Bridge Restaurant;;50 Bowery;between Bayard and Canal Sts;;Chinatown/Little Italy;(212-227-8831);Chinese
Golden Unicorn Restaurant;;18 East Broadway;between Catherine and Market Sts;;Chinatown/Little Italy;(212-941-0911);Chinese
Gonzo;;140 W 13th St;between Sixth and Seventh Aves;;West Village;(212-645-4606);Italian
Good;;89 Greenwich Ave;between Bank and W 12th Sts;;West Village;(212-691-8080);American
Good Enough to Eat;;483 Amsterdam Ave;between 83rd and 84th Sts;;Upper West Side;(212-496-0163);American
Good Stuff Diner;;109 W 14th St;between Sixth and Seventh Aves;;West Village;(212-929-2555);Cafés & diners
Good World Bar and Grill;;3 Orchard St;between Canal and Division Sts;;Lower East Side;(212-925-9975);Eclectic
Goodburger;;800 Second Ave;at 43rd St;;Midtown East;(212-922-1700);American
Goodburger;;636 Lexington Ave;at 54th St;;Midtown East;(212-838-6000);American
Goody’s;;1 East Broadway;at Chatham Sq;;Chinatown/Little Italy;(212-577-2922);Chinese
Gordon Ramsay at The London;The London NYC Hotel;;151 W 54th St;between Sixth and Seventh Aves;Midtown West;(212-468-8888);Eclectic
Gossip Bar & Restaurant;733 Ninth Ave;;;;;;
Gotham Bar and Grill;;12 E 12th St;between Fifth Ave and University Pl;;Greenwich Village;(212-620-4020);American Creative
Gottino;;52 Greenwich Ave;between Charles and Perry Sts;;West Village;(212-633-2590);Italian
Gourmet 53;;875 Third Ave;at 53rd St;;Midtown East;(212-207-8888);Cafés & diners
Grace’s Marketplace;;1237 Third Ave;at 71st St;;Upper East Side;(212-737-0600);Food or Beverage Shop
Grace’s Trattoria;;201 E 71st St;between Second and Third Aves;;Upper East Side;(212-452-2323);Italian
Gradisca;;126 W 13th St;between Sixth and Seventh Aves;;West Village;(212-691-4886);Italian
Graffiti;;224 E 10th St;between First and Second Aves;;East Village;(212-464-7743);Eclectic
Gramercy Tavern;;42 E 20th St;between Broadway and Park Ave South;;Gramercy/Flatiron;(212-477-0777);American Creative
Gramstand;;214 Ave A;between 13th and 14th Sts;;East Village;(917-915-3102);Cafés
Gran Piatto d’Oro;;1429 Fifth Ave;between 116th and 117th Sts;;Harlem;(212-722-2161);Italian
Grand Central Oyster Bar & Restaurant;Grand Central Terminal;;Lower Concourse;42nd St;at Park Ave;Midtown East;(212-490-6650)
Grand Sichuan;;125 Canal St;between Bowery and Chrystie St;;Chinatown/Little Italy;(212-625-9212);Chinese
Grandaisy Bakery;;176 W 72nd St;at Broadway;;Upper West Side;(212-334-9435);Cafés
Grandaisy Bakery;250 West Broadway;;;;;;
Grandaisy Bakery;;73 Sullivan St;between Broome and Spring Sts;;Soho;(212-334-9435);Cafés
Grano Trattoria;;21 Greenwich Ave;at 10th St;;West Village;(212-645-2121);Italian
Grayz;;13–15 W 54th St;between Fifth and Sixth Aves;;Midtown East;(212-262-4600);Eclectic
Gray’s Papaya;;539 Eighth Ave;at 37th St;;Midtown West;(212-904-1588);American
Gray’s Papaya;;402 Sixth Ave;at 8th St;;West Village;(212-260-3532);American
Gray’s Papaya;;2090 Broadway;at 72nd St;;Upper West Side;(212-799-0243);American
Great Jones Cafe;;54 Great Jones St;between Bowery and Lafayette St;;East Village;(212-674-9304);American Regional
Great Jones Café;;54 Great Jones St;between Bowery and Lafayette St;;East Village;(212-674-9304);American Regional
Green Papaya;;185 Sullivan St;between Bleecker and Houston Sts;;Greenwich Village;(212-253-5469);Thai
Green Symphony;;255 W 43rd St;between 7th & 8th Aves;;Midtown West;(212-391-4747);Vegetarian & Organic
Green Symphony;...;;;;;;
Greenwich Grill;;428 Greenwich St;between Vestry and Laight Sts;;Tribeca;(212-274-0428);Eclectic
Greenwich Steak & Burger (CLOSED);;369 Greenwich St;at Franklin St;;Tribeca;(212-625-1010);Steakhouses
Greenwich Village Bistro;;13 Carmine St;between Sixth Ave and Bleecker St;;West Village;(212-206-9777);American
Grey Dog;;90 University Pl;between 11th and 12th Sts;;Greenwich Village;(212-414-4739);Cafés & diners
Griff’s Gelati;;157 Duane St;between West Broadway and Hudson St;;Tribeca;(212-732-5555);American
Grom;;2165 Broadway;between 76th and 77th Sts;;Upper West Side;(646-290-7233);Italian
Grom;;233 Bleecker St;at Carmine St;;West Village;(212-206-1738);Italian
Grotta del Mare (CLOSED);;307 E 77th St;between First and Second Aves;;Upper East Side;(212-535-2866);Italian
Grotto;;100 Forsyth St;between Broome and Grand Sts;;Lower East Side;(212-625-3444);Italian
Guadalupe;;597 W 207th St;at Broadway;;Inwood;(212-304-1083);Latin American
Guantanamera;;939 Eighth Ave;between 55th and 56 Sts;;Midtown West;(212-262-5354);Latin American
Gusto Grilled Organics;;519 Sixth Ave;between 13th and 14th Sts;;West Village;(212-242-5800);Argentine
Gusto Ristorante e Bar Americano;;60 Greenwich Ave;at Perry St;;West Village;(212-924-8000);Italian
Gus’ Place;;192 Bleecker St;between MacDougal St and Sixth Ave;;West Village;(212-777-1660);Greek
Gyu-kaku;;34 Cooper Sq;between 5th and 6th Sts;;East Village;(212-475-2989);Japanese
Gyu–kaku;805 Third Ave;;between 49th and 50th Sts;second floor;Midtown East;(212-702-8816);Japanese
H.K.;;523 Ninth Ave;at 39th St;;Midtown West;(212-947-4208);American
HQ (CLOSED);;90 Thompson St;between Prince and Spring Sts;;Soho;(212-966-2755);American
Hacienda de Argentina;;339 E 75th St;between First and Second Aves;;Upper East Side;(212-472-5300);Argentine
Hakata Tonton;;61 Grove St;between Bleecker St and Seventh Ave South;;West Village;(212-242-3699);Japanese
Haku;;2425 Broadway;between 89th and 90th Sts;;Upper West Side;(212-580-2566);Japanese
Haku Sushi;2850 Broadway;;;;;;
Hakubai;The Kitano Hotel;;66 Park Ave;at 38th St;Midtown East;(212-885-7111);Japanese
Hala Pita;440 E 9th St;;;;;;
Hallo Berlin;;626 Tenth Ave;at 44th St;;Midtown West;(212-977-1944);German
Hallo Berlin Express;;744 Ninth Ave;between 50th and 51st Sts;;Midtown West;(212-333-2372);German
Hampton Chutney Co.;;464 Amsterdam Ave;between 82nd and 83rd Sts;;Upper West Side;(212-362-5050);Indian
Hampton Chutney Co.;;68 Prince St;between Crosby and Lafayette Sts;;Soho;(212-226-9996);Indian
Han Bat;;53 W 35th St;between Fifth and Sixth Aves;;Midtown West;(212-629-5588);Korean
Hanci Turkish Cuisine;854 Tenth Ave;;;;;;
Hangawi;;12 E 32nd St;between Fifth and Madison Aves;;Midtown West;(212-213-0077);Korean
Harlem Grill;;2247–49 Adam Clayton Powell Jr. Blvd (Seventh Ave);between 132nd and 133rd Sts;;Harlem;(212-491-0493);American Regional
Harry Cipriani;Sherry Netherland;;781 Fifth Ave;between 59th and 60th Sts;Midtown East;(212-753-5566);Italian
Harry’s Steak & Cafe;;1 Hanover Square;at Pearl St;;Financial District;(212-785-9200);Steakhouses
Haru;;1329 Third Ave;at 76th St;;Upper East Side;(212-452-2230);Japanese
Haru;;433 Amsterdam Ave;between 80th and 81st Sts;;Upper West Side;(212-579-5655);Japanese
Haru;;205 W 43rd St;at Broadway;;Midtown West;(212-398-7183);Japanese
Haru;;280 Park Ave;at 48th St;;Midtown East;(212-490-9680);Japanese
Haru;;220 Park Ave South;at 18th St;;Gramercy/Flatiron;(646-428-0989);Japanese
Hasaki;;210 E 9th St;between Second and Third Aves;;East Village;(212-473-3327);Japanese
Hatsuhana;;17 E 48th St;between Fifth and Madison Aves;;Midtown East;(212-355-3345);Japanese
Hatsuhana;;237 Park Ave;at 46th St;;Midtown East;(212-661-3400);Japanese
Havana Central;;151 W 46th St;between Sixth and Seventh Aves;;Midtown West;(212-398-7440);Caribbean: Cuban
Havana Central;;22 E 17th St;between Fifth Ave and Broadway;;Gramercy/Flatiron;(212-414-4999);Caribbean: Cuban
Havana New York;;27 W 38th St;between Fifth and Sixth Aves;;Midtown West;(212-944-0990);Caribbean: Cuban
Haveli;;100 Second Ave;between 5th and 6th Sts;;East Village;(212-982-0533);Indian
Hawaiian Tropic Zone;;729 Seventh Ave;between 48th and 49th Sts;;Midtown West;(212-626-7316);American Creative
Hea;;145 E 13th St;at Third Ave;;East Village;(212-982-1688);Japanese
Health Conscious Express;;45 First Ave;between 2nd and 3rd Sts;;East Village;(212-677-8192);Vegetarian & Organic
Heartbeat;W New York;;149 E 49th St;between Lexington and Third Aves;Midtown East;(212-407-2900);Vegetarian & Organic
Hearth;;403 E 12th St;at First Ave;;East Village;(646-602-1300);American
Heartland Brewery;;93 South St;at Fulton St;;Financial District;(646-572-2742);American
Heartland Brewery;;1285 Sixth Ave;at 51st St;;Midtown West;(212-582-8244);American
Heartland Brewery;;35 Union Sq West;between 16th and 17th Sts;;Gramercy/Flatiron;(212-645-3400);American
Heartland Brewery & Chop House;;127 W 43rd St;between Sixth Ave and Broadway;;Midtown West;(646-366-0235);American
Heartland Brewery & Rotisserie;Empire State Building;;350 Fifth Ave;at 34th St;Midtown East;(212-563-3433);American
Hedeh;;57 Great Jones Street;at Bowery St;;East Village;(212-473-8458);Japanese
Heidelberg;;1648 Second Ave;between 85th and 86th Sts;;Upper East Side;(212-628-2332);German
Hell’s Kitchen;;679 Ninth Ave;between 46th and 47th Sts;;Midtown West;(212-977-1588);Mexican
Henry’s;;2745 Broadway;at 105th St;;Upper West Side;(212-866-0600);American
Hi-Life Restaurant & Lounge;;1503 Second Ave;at 78th St;;Upper East Side;(212-628-5433);American
Highline;;835 Washington St;at Little West 12th St;;Meatpacking District;(212-243-3339);Thai
Hill Country;;30 W 26th St;between Broadway and Sixth Ave;;Chelsea;(212-255-4544);Barbeque
Hillstone Manhattan;;153 E 53rd St;at Third Ave;;Midtown East;(212-888-3828);American
Hillstone Manhattan;;378 Park Ave South;between 26th and 27th Sts;;Gramercy/Flatiron;(212-689-1090);American
Hing Won;;48 W 48th St;between Fifth and Sixth Aves;;Midtown West;(212-719-1451);Chinese
Hispaniola;;839 W 181st St;at Cabrini Blvd;;Washington Heights;(212-740-5222);Caribbean
Hog Pit New York City;;37B W 26th St;between Broadway and Sixth Ave;;Chelsea;(212-213-4871);American Regional
Hog Pit New York City;27B W 26th St;;;;;;
Hoi An;;135 West Broadway;between Duane and Thomas Sts;;Tribeca;(212-233-1339);Vietnamese
Holy Basil;149 Second Ave;;between 9th and 10th Sts;second floor;East Village;(212-460-5557);Thai
Home;;20 Cornelia St;between Bleecker and W 4th Sts;;West Village;(212-243-9579);American
Homer’s World Famous Malt Shop;;487 Amsterdam Ave;between 83rd and 84th Sts;;Upper West Side;(212-496-0777);American
Hoomoos Asli;;100 Kenmare St;at Lafayette St;;Chinatown/Little Italy;(212-966-0022);Middle Eastern
Hop Devil Grill;;129 St Marks Pl;at Ave A;;East Village;(212-533-4467);American
Hop Devil Grill;129 St. Marks Pl;;;;;;
Hop Lee;;16 Mott St;between Chatham Sq and Pell St;;Chinatown/Little Italy;(212-962-6475);Chinese
Horus Cafe;;93 Ave B;at 6th St;;East Village;(212-777-9199);Middle Eastern: Egyptian
Horus Café;;293 E 10th St;at Ave A;;East Village;(212-228-4774);Mediterranean
