restaurant;address;addressGoogle;country;neighborhood;type;phone;type_r
Home; 20 Cornelia St-between Bleecker and W 4th Sts;20 Cornelia St;New York;West Village;American;(212-243-9579);
Homer’s World Famous Malt Shop; 487 Amsterdam Ave-between 83rd and 84th Sts;487 Amsterdam Ave;New York;Upper West Side;American;(212-496-0777);
Hop Devil Grill; 129 St Marks Pl-at Ave A;129 St Marks Pl;New York;East Village;American;(212-533-4467);
Hop Lee; 16 Mott St-between Chatham Sq and Pell St;16 Mott St;New York;Chinatown/Little Italy;Chinese;(212-962-6475);
Horus Cafe; 93 Ave B-at 6th St;93 Avenue B;New York;East Village;Middle Eastern: Egyptian;(212-777-9199);
Horus Café; 293 E 10th St-at Ave A;293 E 10th St;New York;East Village;Mediterranean;(212-228-4774);
Houndstooth Pub; 520 Eighth Ave-at 37th St;520 8th Ave;New York;Midtown West;British & Irish;(212-643-0034);
How Sweet It Is; 157 Allen St-between Rivington and Stanton Sts;157 Allen St;New York;Lower East Side;Cafés & diners;(212-777-0418);
How Sweet It Is (CLOSED);157 Allen St -;;New York;;;;
Hudson Cafeteria;Hudson Hotel -356 W 58th Stbetween Eighth and Ninth Aves;;New York;Midtown West;American;(212-554-6500);
Hudson River Cafe; 697 W 133rd St-at Riverside Dr;697 W 133rd St;New York;Harlem;American;(212-491-9111);
Hummus Kitchen; 768 Ninth Ave-between 51st and 52nd Sts;768 9th Ave;New York;Midtown West;Middle Eastern;(212-333-3009);
Hummus Place; 305 Amsterdam Ave-at W 74th St;305 Amsterdam Ave;New York;Upper West Side;Middle Eastern;(212-799-3335);
Hundred Acres; 38 MacDougal St-between W Houston and Prince Sts;38 MacDougal St;New York;Soho;American;(212-475-7500);
Hungarian Meat Market & Delicatessen; 1560 Second Ave-at 82nd St;1560 2nd Ave;New York;Upper East Side;Food or Beverage Shop;(212-628-5147);
Hungarian Pastry Shop; 1030 Amsterdam Ave-between 110th and 111th Sts;1030 Amsterdam Ave;New York;Upper West Side;Cafés & diners;(212-866-4230);
I Sodi; 105 Christopher St-between Bleecker and Hudson Sts;105 Christopher St;New York;West Village;Italian;(212-414-5774);
I Tre Merli; 463 West Broadway-between Houston and Prince Sts;463 W Broadway;New York;Soho;Italian;(212-254-8699);
I Tre Merli Bistro; 183 W 10th St-at W 4th St;183 W 10th St;New York;West Village;Italian;(212-929-2221);
I Vandali; 1590 First Ave-between 82nd and 83rd Sts;1590 1st Avenue;New York;Upper East Side;Italian;(212-585-3339);
Icon;W Court Hotel -130 E 39th Stbetween Park and Lexington Aves;;New York;Midtown East;American;(212-592-8888);
Ideal Cheese Shop; 942 First Ave-between 51st and 52nd Sts;942 1st Avenue;New York;Midtown East;Food or Beverage Shop;(212-688-7579);
Ideya; 349 West Broadway-between Broome and Grand Sts;349 W Broadway;New York;Soho;Latin American;(212-625-1441);
Il Bagatto; 192 E 2nd St-between Aves A and B;192 E 2nd St;New York;East Village;Italian;(212-228-0977);
Il Bastardo; 161 Seventh Ave 21st St-;161 Seventh Ave 21st St;New York;Chelsea;Italian;(212-675-5980);
Il Bordello; 470 W 23rd St-at Tenth Ave;470 W 23rd St;New York;Chelsea;Italian;(212-206-9065);
Il Cantinori; 32 E 10th St-between University Pl and Broadway;32 E 10th St;New York;Greenwich Village;Italian;(212-673-6044);
Il Corso; 19 W 55th St-between Fifth and Sixth Aves;19 W 55th St;New York;Midtown West;Italian;(212-957-1500);
Il Gattopardo; 33 W 54th St-between Fifth and Sixth Aves;33 W 54th St;New York;Midtown West;Italian;(212-246-0412);
Il Giglio; 81 Warren St-between Greenwich St and West Broadway;81 Warren St;New York;Financial District;Italian;(212-571-5555);
Il Mulino; 86 W 3rd St-between Sullivan and Thompson Sts;86 W 3rd St;New York;Greenwich Village;Italian;(212-673-3783);
Il Nido; 251 E 53rd St-between Second and Third Aves;251 E 53rd St;New York;Midtown East;Italian;(212-753-8450);
Il Postino; 337 E 49th St-between First and Second Aves;337 E 49th St;New York;Midtown East;Italian;(212-688-0033);
Il Punto Ristorante; 507 Ninth Ave-at 38th St;507 9th Ave;New York;Midtown West;Italian;(212-244-0088);
Il Sole; 233 Dyckman St-between Broadway and Seaman Ave;233 Dyckman St;New York;Inwood;Italian;(212-544-0406);
Il Valentino;Sutton Hotel -330 E 56th Stbetween First and Second Aves;;New York;Midtown East;Italian;(212-355-0001);
In Vino; 215 E 4th St-between Aves A and B;215 E 4th St;New York;East Village;Italian;(212-539-1011);
InTent (CLOSED); 231 Mott St-between Prince and Spring Sts;231 Mott St;New York;Chinatown/Little Italy;Mediterranean;(212-966-6310);
Inagiku;The Waldorf-Astoria -111 E 49th Stbetween Park and Lexington Aves;;New York;Midtown East;Japanese;(212-355-0440);
Inakaya New York;231 W 40th St -;;New York;;;;
Inatteso Cafe Casano; 38 West St-at 2nd Pl;38 West St;New York;Financial District;Food or Beverage Shop;(212-267-7000);
Indian Bread Co.; 194 Bleecker St-between Sixth Ave and MacDougal St;194 Bleecker St;New York;Greenwich Village;Indian;(212-228-1909);
Indian Cafe; 2791 Broadway-at 108th St;2791 Broadway;New York;Upper West Side;Indian;(212-749-9200);
Indian Daj; 181 Bleecker St-between MacDougal and Sullivan Sts;181 Bleecker St;New York;Greenwich Village;Indian;(212-982-0810);
Indian Express; 18 Murray St-between Broadway and Church St;18 Murray Street;New York;Financial District;Indian;(212-608-5555);
Indigo Indian Bistro; 357 E 50th St-between First and Second Aves;357 E 50th St;New York;Midtown East;Indian;(212-421-1919);
Indochine; 430 Lafayette St-between Astor Pl and E 4th St;430 Lafayette St;New York;Greenwich Village;Vietnamese;(212-505-5111);
Indowok; 106 Lexington Ave-between 27th and 28th Sts;106 Lexington Ave;New York;Gramercy/Flatiron;Asian: Pan-Asian;(212-684-1645);
Indus Express; 48 W 48th St-between Fifth and Sixth Aves;48 W 48th St;New York;Midtown West;Indian;(212-840-2733);
Indus Valley; 2636 Broadway-at 100th St;2636 Broadway;New York;Upper West Side;Indian;(212-222-9222);
Industria Argentina; 329 Greenwich St-between Duane and Jay Sts;329 Greenwich St;New York;Tribeca;Argentine;(212-965-8560);
Ini Ani (CLOSED); 105 Stanton St-at Ludlow St;105 Stanton St;New York;Lower East Side;Cafés;(212-254-9066);
Inside Park at St. Bart's;109 E. 50th St -;;New York;;;;
Inside Park at St. Bart’s; 109 E 50th St-at Park Ave;109 E 50th St;New York;Midtown East;American;(212-593-3333);
Insieme;Michelangelo Hotel -777 Seventh Aveat 51st St;;New York;Midtown West;Italian;(212-582-1310);
Insomnia Cookies; 50 W 8th St-between Sixth Ave and MacDougal St;50 W 8th St;New York;Greenwich Village;American;(877-63-COOKIE);
Iron Sushi; 355 E 78th St-between First and Second Aves;355 E 78th St;New York;Upper East Side;Japanese;(212-772-7680);
Irving Farm; 56 Seventh Ave-between 13th and 14th Sts;56 7th Ave;New York;West Village;Cafés & diners;(212-475-5200);
Irving Mill; 116 E 16th St-between Park Ave South and Irving Pl;116 E 16th St;New York;Gramercy/Flatiron;American;(212-254-1600);
Isabella’s; 359 Columbus Ave-at 77th St;359 Columbus Ave;New York;Upper West Side;Mediterranean;(212-724-2100);
Isabella’s Oven; 365 Grand St-between Essex and Norfolk Sts;365 Grand St;New York;Lower East Side;Italian;(212-529-5206);
Isabella’s Oven (CLOSED);365 Grand St -;;New York;;;;
Ise; 56 Pine St-between Pearl and William Sts;56 Pine St;New York;Financial District;Japanese;(212-785-1600);
Islero; 247 E 50th St-between Second and Third Aves;247 E 50th St;New York;Midtown East;Spanish;(212-752-1414);
Ithaka; 308 E 86th St-between First and Second Aves;308 East 86th St;New York;Upper East Side;Greek;(212-628-9100);
Itzocan Bistro; 1575 Lexington Ave-at 101st St;1575 Lexington Ave;New York;Upper East Side;Mexican;(212-423-0255);
It’s a Dominican Thing; 144 W 19th St-between Sixth and Seventh Aves;144 W 19th St;New York;Chelsea;Caribbean: Dominican;(212-924-3344);
Ivo & Lulu; 558 Broome St-at Varick St;558 Broome St;New York;Soho;French;(212-226-4399);
Ivy’s Bistro; 385 Greenwich St-at North Moore St;385 Greenwich St;New York;Tribeca;Italian;(212-343-1139);
Ivy’s Cafe; 154 W 72nd St-between Columbus Ave and Broadway;154 W 72nd St;New York;Upper West Side;Chinese;(212-787-3333);
Izakaya Ten; 207 Tenth Ave-between 22nd and 23rd Sts;207 10th Ave;New York;Chelsea;Japanese;(212-627-7777);
Izu; 9 E 13th St-between Fifth Ave and University Pl;9 E 13th St;New York;Greenwich Village;Japanese;(646-486-7313);
J.G. Melon; 1291 Third Ave-at 74th St;1291 3rd Ave;New York;Upper East Side;American;(212-744-0585);
JLX Café; 507 Columbus Ave-between 84th and 85th Sts;507 Columbus Ave;New York;Upper West Side;French;(212-712-1700);
Jack; 80 University Pl-at 11th St;80 University Pl;New York;Greenwich Village;French;(212-620-5544);
Jackson Hole; 1611 Second Ave-between 83rd and 84th Sts;1611 2nd Ave;New York;Upper East Side;American;(212-737-8788);
Jack’s Luxury Oyster Bar; 101 Second Ave-at 6th St;101 2nd Ave;New York;East Village;Seafood;(212-253-7848);
Jack’s Stir Brew Coffee; 292 Elizabeth St-between Bleecker and E Houston Sts;292 Elizabeth St;New York;Chinatown/Little Italy;Cafés & diners;(212-226-5775);
Jacques; 20 Prince St-between Elizabeth and Mott Sts;20 Prince St;New York;Chinatown/Little Italy;French;(212-966-8886);
Jacques Torres; 285 Amsterdam Ave-between 73rd and 74th Sts;285 Amsterdam Ave;New York;Upper West Side;Cafés & diners;(212-414-2462);
Jacques’ Brasserie; 204 E 85th St-between Second and Third Aves;204 E 85th St;New York;Upper East Side;French;(212-327-2272);
Jaipur’s; 1007 Second Ave-between 53rd and 54th Sts;1007 2nd Ave;New York;Midtown East;Indian;(212-371-3330);
Jane; 100 W Houston St-between La Guardia Pl and Thompson St;100 W Houston St;New York;Greenwich Village;American;(212-254-7000);
Japonais; 111 E 18th St-between Park Avenue South and Irving Pl;111 E 18th St;New York;Gramercy/Flatiron;Japanese;(212-260-2020);
Japonica; 100 University Pl-at 12th St;100 University Pl;New York;Greenwich Village;Japanese;(212-243-7752);
Jarnac; 328 W 12th St-at Greenwich St;328 W 12th St;New York;Meatpacking District;French;(212-924-3413);
Jaya; 90 Baxter St-between Walker and White Sts;90 Baxter St;New York;Chinatown/Little Italy;Asian: Malaysian;(212-219-3331);
Jean Claude; 137 Sullivan St-between Houston and Prince Sts;137 Sullivan St;New York;Soho;French;(212-475-9232);
Jean Georges;Trump International Hotel & Tower -1 Central Park Westat Columbus Circle;;New York;Upper West Side;French;(212-299-3900);
Jeeb; 154 Orchard St-between Stanton and Rivington Sts;154 Orchard St;New York;Lower East Side;Thai;(212-677-4101);
Jerry’s (CLOSED); 101 Prince St-between Greene and Mercer Sts;101 Prince St;New York;Soho;Cafés & diners;(212-966-9464);
Jerry’s Café; 90 Chambers St-between Broadway and Church St;90 Chambers St;New York;Tribeca;American;(212-608-1700);
Jewel Bako; 239 E 5th St-between Second and Third Aves;239 E 5th St;New York;East Village;Japanese;(212-979-1012);
Je’Bon Noodle House; 15 St. Marks Pl-between Second and Third Aves;15 St Marks Pl;New York;East Village;Asian: Pan-Asian;(212-388-1313);
Jiannetto’s Pizza truck; E 47th St-at Park Ave;E 47th St;New York;Midtown East;Italian: Pizza;;
Jim Brady's Irish Pub and Restaurant;75 Maiden Lane -;;New York;;;;
Jimmy’s Burger Shack; 258 W 31st St-between Seventh and Eighth Aves;258 W 31st St;New York;Midtown West;American;(212-695-5462);
Jimmy’s No. 43; 43 E 7 St-between Second and Third Aves;43 E 7th St;New York;East Village;American Creative;(212-982-3006);
Jing; 689 Ninth Ave-between 47th and 48th Sts;689 9th Ave;New York;Midtown West;Chinese;(212-245-0800);
Jing Fong; 20 Elizabeth St-between Bowery and Canal St;20 Elizabeth St;New York;Chinatown/Little Italy;Chinese;(212-964-5256);
JoJo; 160 E 64th St-between Lexington and Third Aves;160 E 64th St;New York;Upper East Side;French;(212-223-5656);
Joe; 405 W 23rd St-between Ninth and Tenth Aves;405 W 23rd St;New York;Chelsea;Cafés & diners;(212-206-0669);
Joe Allen; 326 W 46th St-between Eighth and Ninth Aves;326 W 46th St;New York;Midtown West;American;(212-581-6464);
Joe at Alessi; 130 Greene St-between Houston and Prince Sts;130 Greene St;New York;Soho;Cafés & diners;(212-941-7330);
Joe at Grand Central Terminal; The Graybar Passage-;420 Lexington Ave #2500;New York;Midtown East;Cafés & diners;(212-661-8580);
JoeDoe; 45 E 1st St-between First and Second Aves;45 E 1st St;New York;East Village;American;(212-780-0262);
Joe’s; 141 Waverly Pl-between Gay St and Sixth Ave;141 Waverly Pl;New York;West Village;Cafés & diners;(212-924-6750);
Joe’s Pizza; 7 Carmine St-between Bleecker and Sixth Ave;7 Carmine St;New York;West Village;Italian: Pizza;(212-366-1182);
Joe’s Shanghai; 9 Pell St-between Bowery and Doyers St;9 Pell St;New York;Chinatown/Little Italy;Chinese;(212-233-8888);
John Villa’s Dominic Restaurant (CLOSED); 349 Greenwich St-between Harrison and Jay Sts;349 Greenwich St;New York;Tribeca;Italian;(212-343-0700);
Johnny Utah’s;Club Quarters Hotel -25 W 51st Stbetween Fifth and Sixth Aves;;New York;Midtown West;American;(212-265-8824);
John’s Pizzeria; 408 E 64th St-between First and York Aves;408 E 64th St;New York;Upper East Side;Italian: Pizza;(212-935-2895);
John’s of 12th Street; 302 E 12th St-between First and Second Aves;302 E 12th St;New York;East Village;Italian;;
Jonez; 41 Greenwich Ave-at Charles St;41 Greenwich Ave;New York;West Village;American;(212-255-3606);
Joselito Restaurant; 94 Ave C-between 6th and 7th Sts;94 Loisaida Ave;New York;East Village;Caribbean: Dominican;(212-673-9287);
Josephina; 1900 Broadway-between 63rd and 64th Sts;1900 Broadway;New York;Upper West Side;American;(212-799-1000);
Josie’s; 555 Third Ave-at 37th St;555 3rd Ave;New York;Upper East Side;Vegetarian & Organic;(212-490-1558);
Joy; 148 E 46th St-between Lexington and Third Aves;148 E 46th St;New York;Midtown East;Indian;(212-490-1277);
Juan Valdez Café; 1451 Broadway-at W 41st St;1451 Broadway;New York;Midtown East;Cafés;(212-871-7515);
Jubilee; 347 E 54th St-between First and Second Aves;347 E 54th St;New York;Midtown East;French;(212-888-3569);
Juice Generation; 171 W 4th St-between Sixth Ave and Seventh Ave South;171 West 4th Street;New York;West Village;Cafés & diners;(212-242-0440);
Julep; 14 Ave A-between 1st and 2nd Sts;14 Avenue A;New York;East Village;American Regional;(212-254-2442);
Jules; 65 St Marks Pl-between First and Second Aves;65 St Marks Pl;New York;East Village;French;(212-477-5560);
Junior’s Restaurant; 1515 Broadway-;1515 Broadway;New York;Midtown West;American;(212-302-2000);
Junior’s Restaurant/Bakery;Grand Central Terminal -Lower Concourse and near track 3642nd St;;New York;at Park Ave;(212-692-9800);Midtown East;
Juniper Suite; 44 W 56th St-between Fifth and Sixth Aves;44 W 56th St;New York;Midtown West;Eclectic;(212-586-4737);
Kafana; 116 Ave C-between 7th and 8th Sts;116 Loisaida Ave;New York;East Village;Eastern European;(212-353-8000);
Kaffe 1668;275 Greenwich St -;;New York;;;;
Kai; 822 Madison Ave-between 68th and 69th Sts;822 Madison Ave;New York;Upper East Side;Japanese;(212-988-7277);
Kambi Ramen House; 351 E 14th St-between First and Second Aves;351 E 14th St;New York;East Village;Japanese;(212-228-1366);
Kampuchea Noodle Bar; 78 Rivington St-at Allen St;78 Rivington St;New York;Lower East Side;Asian: Cambodian;(212-529-3901);
Kanoyama; 175 Second Ave-at 11th St;175 2nd Ave;New York;East Village;Japanese;(212-777-5266);
Kasadela; 647 E 11th St-at Ave C;647 E 11th St;New York;East Village;Japanese;(212-777-1582);
Kashkaval; 856 Ninth Ave-between 55th & 56th Sts;856 9th Ave;New York;Midtown West;Mediterranean;(212-581-8282);
Kashmir; 601 Eighth Ave-at 39th St;601 8th Ave;New York;Midtown West;Indian;(212-594-3777);
Kate’s Joint; 58 Ave B-at 4th St;58 Avenue B;New York;East Village;Vegetarian & Organic;(212-777-7059);
Katz’s Delicatessen; 205 E Houston St-at Ludlow St;205 E Houston St;New York;Lower East Side;American;(212-254-2246);
Kaña Tapas Bar; 324 Spring St-between Greenwich and Washington Sts;324 Spring St;New York;Soho;Spanish;(212-343-8180);
Kee’s Chocolates;452 Fifth Ave -;;New York;;;;
Kefi; 505 Columbus Ave-between 84th and 85th Sts;505 Columbus Ave;New York;Upper West Side;Greek;(212-873-0200);
Kefi (CLOSED); 222 W 79th St-between Amsterdam Ave and Broadway;222 W 79th St;New York;Upper West Side;Greek;(212-873-0200);
Kellari; 19 W 44th St-between Fifth and Sixth Aves;19 W 44th St;New York;Midtown West;Greek;(212-221-0144);
Kellari’s Parea; 36 E 20th St-between Broadway and Park Ave South;36 E 20th St;New York;Gramercy/Flatiron;Greek;(212-777-8448);
Kemia Bar; 630 Ninth Ave-at 44th St;630 9th Ave;New York;Midtown West;Moroccan;(212-582-3200);
Kenka; 25 St. Marks Pl-between Second and Third Aves;25 St Marks Pl;New York;East Village;Japanese;(212-254-6363);
Keur Sokhna; 225 W 116th St-between Adam Clayton Powell Jr. Blvd (Seventh Ave) and Frederick Douglass Blvd (Eighth Ave);225 W 116th St;New York;Harlem;African: Senegalese;(212-864-0081);
Kew Garden Restaurant; 1–3 Elizabeth St-at Bayard St;1 Elizabeth St;New York;Chinatown/Little Italy;Chinese;(212-219-3686);
Khyber Pass; 34 St. Marks Pl-between Second and Third Aves;34 St Marks Pl;New York;East Village;Afghan;(212-473-0989);
Kin Khao (CLOSED); 171 Spring St-between Thompson St and West Broadway;171 Spring St;New York;Soho;Thai;(212-966-3939);
Kingswood; 121 W 10th St-between Greenwich and Sixth Aves;121 W 10th St;New York;Greenwich Village;Australian & New Zealand;(212-645-0018);
Kion;509 E 6th St -;;New York;;;;
Kirara (CLOSED); 33 Carmine St-between Bedford and Bleecker Sts;33 Carmine St;New York;West Village;Japanese;(212-741-2123);
Kitaro; 1164 First Ave-between 63rd and 64th Sts;1164 1st Avenue;New York;Upper East Side;Japanese;(212-317-9892);
Kitchen 82 (CLOSED); 461 Columbus Ave-at 82nd St;461 Columbus Ave;New York;Upper West Side;American;(212-875-1619);
Kitchenette; 156 Chambers St-between Greenwich St and W Broadway;156 Chambers St;New York;Financial District;American;(212-267-6740);
Kitchenette Uptown; 1272 Amsterdam Ave-between 122nd and 123rd Sts;1272 Amsterdam Ave;New York;Columbia University–City College;American;(212-531-7600);
Kittichai;60 Thompson Hotel -60 Thompson Stbetween Broome and Spring Sts;;New York;Soho;Thai;(212-219-2000);
