restaurant;address;country;neighborhood;type;phone
Little Lad's Basket;... -;New York;;;
Lobster Place;Chelsea Market -75 Ninth Aveat 16th St;New York;Chelsea;Seafood;(212-255-5672)
Lola; 15 Watts St-between Thompson St and West Broadway;New York;Soho;French;(212-675-6700)
Lola (CLOSED);15 Watts St -;New York;;;
Lollipop; 27 E 61st St-between Madison and Park Aves;New York;Upper East Side;Asian: Pan-Asian;(212-752-8900)
Lombardi’s; 32 Spring St-between Mott and Mulberry Sts;New York;Chinatown/Little Italy;Italian: Pizza;(212-941-7994)
Lomito (CLOSED); 300 Spring St-between Hudson and Renwick Sts;New York;Soho;Argentine;(212-929-9494)
Lonesome Dove (CLOSED); 29 W 21st St-between Fifth and Sixth Aves;New York;Chelsea;American Creative;(212-414-3139)
Loose Leaf Cafe; 72 Irving Pl-between 18th and 19th Sts;New York;Gramercy/Flatiron;Cafés & diners;(917-915-3102)
Loreley; 7 Rivington St-between Bowery and Chrystie St;New York;Lower East Side;German;(212-253-7077)
Lorenzo & Maria’s Kitchen; 1418 Third Ave-between 80th and 81st Sts;New York;Upper East Side;Food or Beverage Shop;(212-794-1080)
Los Dados; 73 Gansevoort St-at Washington St;New York;Meatpacking District;Mexican;(646-810-7290)
Los Dos Molinos; 119 E 18th St-between Park Ave South and Irving Pl;New York;Gramercy/Flatiron;American Regional;(212-505-1574)
Loui Loui; 1311 Third Ave-at 75th St;New York;Upper East Side;Italian;(212-717-4500)
Lovely Day; 196 Elizabeth St-between Prince and Spring Sts;New York;Chinatown/Little Italy;Asian: Pan-Asian;(212-925-3310)
Luca Bar; 119 St. Marks Pl-between First Ave and Ave A;New York;East Village;Italian;(212-254-1511)
Lucien; 14 First Ave-between 1st and 2nd Sts;New York;East Village;French;(212-260-6481)
Lucky Cheng’s; 24 First Ave-between 1st and 2nd Sts;New York;East Village;Asian: Pan-Asian;(212-473-0516)
Lucky Strike; 59 Grand St-between West Broadway and Wooster St;New York;Soho;French;(212-941-0772)
Lucky’s Famous; 370 W 52nd St-between Eighth and Ninth Aves;New York;Midtown West;American;(212-247-6717)
Lucy of Gramercy; 35 E 18th St-between Broadway and Park Avenue South;New York;Gramercy/Flatiron;Latin American;(212-475-5829)
Lugo Caffè;1 Penn Plaza -33rd Stat Eighth Ave;New York;Midtown West;Italian;(212-760-2700)
Luke’s Bar & Grill; 1394 Third Ave-between 79th and 80th Sts;New York;Upper East Side;American;(212-249-7070)
Lulu; 235 Mulberry St-at Spring St;New York;Chinatown/Little Italy;Eclectic;(212-966-6616)
Lumi; 963 Lexington Ave-at 70th St;New York;Upper East Side;Italian;(212-570-2335)
Lunasa; 126 First Ave-between St. Marks Pl and E 7th St;New York;East Village;British & Irish;(212-228-8580)
Lunetta; 920 Broadway-at 21st St;New York;Gramercy/Flatiron;Italian;(212-533-3663)
Lunetta (CLOSED);920 Broadway -;New York;;;
Lupa; 170 Thompson St-between Bleecker and Houston Sts;New York;Greenwich Village;Italian;(212-982-5089)
Lupe’s East L.A. Kitchen; 110 Sixth Ave-at Watts St;New York;Soho;Mexican;(212-966-1326)
Lure Fishbar; 142 Mercer St-at Prince St;New York;Soho;Seafood;(212-431-7676)
Lusso;331 West Broadway -;New York;;;
Luxee; 6 Clinton St-between E Houston and Stanton Sts;New York;Lower East Side;Japanese;(212-375-1796)
Luzia’s; 429 Amsterdam Ave-between 80th and 81st Sts;New York;Upper West Side;Portuguese;(212-595-2000)
L’Absinthe; 227 E 67th St-between Second and Third Aves;New York;Upper East Side;French;(212-794-4950)
L’Artusi; 228 W 10th St-between Bleecker and Hudson Sts;New York;West Village;Italian;(212-255-5757)
L’Asso; 192 Mott St-at Kenmare St;New York;Chinatown/Little Italy;Italian;(212-219-2353)
L’Atelier de Joël Robuchon;Mon–Fri -;New York;;;
L’Atelier du Chocolat;59 W 22nd St -;New York;;;
L’Ecole; 462 Broadway-at Grand St;New York;Soho;French;(212-219-3300)
L’Express; 249 Park Ave South-at 20th St;New York;Gramercy/Flatiron;French;(212-254-5858)
L’Orange Bleue; 430 Broome St-at Crosby St;New York;Soho;Moroccan;(212-226-4999)
L’Ulivo; 184 Spring St-between Sullivan and Thompson Sts;New York;Soho;Italian;(212-343-1445)
M & R Bar-Dining Room; 356 Bowery-between Great Jones and E 4th St;New York;East Village;Eclectic;(212-260-1890)
M&G Soul Food Diner (CLOSED); 383 W 125th St-at Morningside Ave;New York;Harlem;American Regional;(212-864-7326)
M. Rohrs’ House of Fine Teas and Coffees; 310 E 86th St-between First and Second Aves;New York;Upper East Side;Cafés & diners;(212-772-2513)
Ma-Ya; 234 E 4th St-between Aves A and B;New York;Lower East Side;Thai;(646-313-1987)
Macao Trading Co.; 311 Church St-between Lispenard and Walker Sts;New York;Tribeca;Eclectic;(212-431-8750)
Macaron Café; 161 W 36th St-between Broadway and Seventh Ave;New York;Midtown West;French;(646-573-5048)
Macelleria; 48 Gansevoort St-between Greenwich and Washington Sts;New York;Meatpacking District;Italian;(212-741-2555)
Macondo; 157 E Houston St-between Allen and Eldridge Sts;New York;Lower East Side;Latin American;(212-473-9900)
Madaleine Mae; 461 Columbus Ave-at 82nd St;New York;Upper West Side;American;(212-496-3000)
Madaleine Mae (CLOSED); 461 Columbus Ave-at 82nd St;New York;Upper West Side;American;(212-496-3000)
Madison & Vine; 299 Madison Ave-at 41st St;New York;Midtown East;American;(212-867-5535)
Madras Café; 79 Second Ave-between 4th and 5th Sts;New York;East Village;Indian;(212-254-8002)
Madras Mahal; 104 Lexington Ave-between 27th and 28th Sts;New York;Gramercy/Flatiron;Indian;(212-684-4010)
Maffei Pizza; 688 Sixth Ave-at 22nd St;New York;Chelsea;Italian: Pizza;(212-929-0949)
Magnolia Bakery; 200 Columbus Ave-at 69th St;New York;Upper West Side;Food or Beverage Shop;(212-724-8101)
Mai House; 186 Franklin St-between Greenwich and Hudson Sts;New York;Tribeca;Vietnamese;(212-431-0606)
Maia; 98 Ave B-between 6th and 7th Sts;New York;East Village;Turkish;(212-358-1166)
Maison; 1700 Broadway-between 53rd and 54th Sts;New York;Midtown West;French;(212-757-2233)
Malatesta Trattoria; 649 Washington St-at Christopher St;New York;West Village;Italian;(212-741-1207)
Maloney & Porcelli; 37 E 50th St-between Madison and Park Aves;New York;Midtown East;Steakhouses;(212-750-2233)
Mamajuana Cafe; 247 Dyckman St-at Seaman Ave;New York;Inwood;Latin American;(212-304-0140)
Mama’s Food Shop; 200 E 3rd St-between Aves A and B;New York;East Village;American Regional;(212-777-4425)
Mama’s Mudsliders (CLOSED); 120 Christopher St-between Bleecker and Bedford Sts;New York;West Village;American;(646-414-4447)
Mamlouk (CLOSED); 211 E 4th St-between Aves A and B;New York;East Village;Middle Eastern;(212-529-3477)
Mamoun’s Falafel; 119 MacDougal St-between Bleecker and W 3rd Sts;New York;Greenwich Village;Middle Eastern;(212-674-8685)
Mamá Mexico; 2672 Broadway-between 101st and 102nd Sts;New York;Upper West Side;Mexican;(212-864-2323)
Mana; 646 Amsterdam Ave-between 91st and 92nd Sts;New York;Upper West Side;Vegetarian & Organic;(212-787-1110)
Mandler’s (CLOSED); 601 Eighth Ave-between 39th and 40th Sts;New York;Midtown West;German;(212-244-4222)
Mandler’s: The Original Sausage Co. (CLOSED); 26 E 17th St-between Fifth Ave and Broadway;New York;Gramercy/Flatiron;German;(212-255-8999)
Mandoo Bar; 2 W 32nd St-between Fifth Ave and Broadway;New York;Midtown West;Korean;(212-279-3075)
Mangez Avec Moi; 71-73 West Broadway-between Murray Warren Sts;New York;Financial District;Vietnamese;(212-385-0008)
Mangez Express; 71–73 West Broadway-between Murray and Warren Sts;New York;Financial District;Vietnamese;(212-385-0008)
Mangia e Bevi; 800 Ninth Ave-at 53rd St;New York;Midtown West;Italian;(212-956-3976)
Mangiami; 9 Stanton St-between Bowery and Chrystie St;New York;Lower East Side;Italian;(212-477-7047)
Mangiarini; 1593 Second Ave-between 82nd and 83rd Sts;New York;Upper East Side;Italian;(212-734-5500)
Manhattan Bistro; 129 Spring St-between Greene and Wooster Sts;New York;Soho;French;(212-966-3459)
Maoz Vegetarian; 59 E 8th St-between Broadway and University Pl;New York;East Village;Vegetarian & Organic;(212-420-5999)
Maracas Mexican Bar & Grill; 33 Greenwich Ave-between Sixth and Seventh Aves;New York;West Village;Mexican;(212-593-6600)
Mara’s Homemade; 342 E 6th St-between First and Second Aves;New York;East Village;American Regional;(212-598-1110)
Marbella Restaurant; 162 E 33rd St-between Lexington and Third Aves;New York;Midtown East;Spanish;(212-725-4499)
Marc Forgione;134 Reade St -;New York;;;
March (CLOSED); 405 E 58th St-between First Ave and Sutton Pl;New York;Midtown East;American Creative;(212-754-6272)
Marco Polo Café; 102 St. Marks Pl-between First Ave and Ave A;New York;East Village;Eclectic;(212-228-8456)
Mardigras; 3 Maiden Ln-between Broadway and Liberty Pl;New York;Financial District;American Regional;(212-233-6066)
Mare; 198 Eighth Ave-at 20th St;New York;Chelsea;Seafood;(212-675-7522)
Marfa;101 E 2nd St -;New York;;;
Margie’s Red Rose; 275 W 144th St-between Adam Clayton Powell Jr. Blvd;New York;Harlem;American Regional;(212-491-3665)
Margon; 136 W 46th St-between Sixth and Seventh Aves;New York;Midtown West;Caribbean;(212-354-5013)
Marinella; 49 Carmine St-at Bedford St;New York;West Village;Italian;(212-807-7472)
Mario’s Trattoria; 493 Ninth Ave-between 37th and 38th Sts;New York;Midtown West;Italian;(212-239-3394)
MarkJoseph Steakhouse; 261 Water St-at Peck Slip;New York;Financial District;Steakhouses;(212-277-0020)
Market Cafe; 496 Ninth Ave-between 37th and 38th Sts;New York;Midtown West;American;(212-564-7350)
Market Diner; 572 Eleventh Ave-at 43rd St;New York;Midtown West;American;(212-695-0415)
Market Table; 54 Carmine St-at Bedford St;New York;West Village;American;(212-255-2100)
Markt; 676 Sixth Ave-at 21st St;New York;Chelsea;Belgian;(212-727-3314)
Maroons; 244 W 16th St-between Seventh and Eighth Aves;New York;Chelsea;Caribbean: Jamaican;(212-206-8640)
Maroons (CLOSED);244 W 16th St -;New York;;;
Marquet Pâtisserie; 15 E 12th St-between Fifth Ave and University Pl;New York;Greenwich Village;Cafés & diners;(212-229-9313)
Marseille; 630 Ninth Ave-at 44th St;New York;Midtown West;French;(212-333-3410)
Marshall Stack; 66 Rivington St-at Allen St;New York;Lower East Side;Cafés;(212-228-4667)
Marumi; 546 La Guardia Pl-between Bleecker and W 3rd Sts;New York;Greenwich Village;Japanese;(212-979-7055)
Maruzzella; 1483 First Ave-between 77th and 78th Sts;New York;Upper East Side;Italian;(212-988-8877)
Mary’s Fish Camp; 64 Charles St-at W 4th St;New York;West Village;Seafood;(646-486-2185)
Mas; 39 Downing St-between Seventh Ave South and Bedford St;New York;West Village;French;(212-255-1790)
Masa;Time Warner Center -10 Columbus Circleat 60th St;New York;fourth floor;(212-823-9800);Upper West Side
Masala Bollywood (CLOSED); 108 Lexington Ave-between 27th and 28th Sts;New York;Gramercy/Flatiron;Indian;(212-679-1284)
Massawa; 1239 Amsterdam Ave-at 121st St;New York;Columbia University–City College;African: Ethiopian;(212-663-0505)
Massimo Al Ponte Vecchio; 206 Thompson St-between Bleecker and W 3rd Sts;New York;Greenwich Village;Italian;(212-228-7701)
Matador; 57 Greenwich Ave-between Perry and Charles Sts;New York;West Village;Spanish;(212-691-0057)
Matilda; 647 E 11th St-between Aves B and C;New York;East Village;Eclectic;(212-777-3355)
Matsugen; 241 Church St-between Leonard and Worth Sts;New York;Tribeca;Japanese;(212-925-0202)
Matsuri;Maritime Hotel -369 W 16th Stat Ninth Ave;New York;Chelsea;Japanese;(212-243-6400)
MauiWowi Hawaiian Coffees & Smoothies; 1598 Third Ave-between 89th and 90th Sts;New York;Upper East Side;Food or Beverage Shop;(212-289-1975)
Max; 51 Ave B-between 3rd and 4th Sts;New York;East Village;Italian;(212-539-0111)
Max Brenner; 841 Broadway-between 13th and 14th Sts;New York;Gramercy/Flatiron;Chocolate by the Bald Man;(212-388-0030)
Max SoHa; 1274 Amsterdam Ave-at 123rd St;New York;Columbia University–City College;Italian;(212-531-2221)
Maxie’s Grill; 233 Park Ave South-at 19th St;New York;Gramercy/Flatiron;American;(212-979-7800)
Maya; 1191 First Ave-between 64th and 65th Sts;New York;Upper East Side;Mexican;(212-585-1818)
Mayrose (CLOSED); 920 Broadway-at 21st St;New York;Gramercy/Flatiron;American;(212-533-3663)
Maz Mezcal; 316 E 86th St-between First and Second A;New York;Upper East Side;Mexican;(212-472-1599)
Maze;The London NYC Hotel -151 W 54th Stbetween Sixth and Seventh Aves;New York;Midtown West;Eclectic;(212-468-8888)
McCormick & Schmick’s; 1285 Sixth Ave-at 51st St;New York;Midtown West;Seafood;(212-459-1222)
McFadden’s Restaurant and Saloon; 800 Second Ave-at 42nd St;New York;Midtown East;American;(212-986-1515)
Meade’s; 251 Water St-at Peck Slip;New York;Financial District;Seafood;(212-791-1818)
Medina; 315 Tenth Ave-between 28th and 29th Sts;New York;Chelsea;Moroccan;(212-239-0057)
Megu; 62 Thomas St-between Church St and West Broadway;New York;Tribeca;Japanese;(212-964-7777)
Megu Midtown;845 U.N. Plaza -Trump World TowerFirst Ave;New York;at 47th St;(212-964-7777);Midtown East
Mehanata (a.k.a. 416 B.C.; 416 Broadway-at Canal St;New York;Soho;a.k.a. Bulgarian Bar);(212-625-0981)
Melba’s; 300 W 114th St-at Frederick Douglass Blvd (Eighth Ave);New York;Harlem;American Regional;(212-864-7777)
Mercadito; 179 Ave B-between 11th and 12th Sts;New York;East Village;Mexican;(212-529-6493)
Mercadito Grove; 100 Seventh Ave South-at Grove St;New York;West Village;Mexican;(212-647-0830)
Mercat; 45 Bond St-between Bowery and Lafayette St;New York;East Village;Spanish;(212-529-8600)
Merkato 55; 55 Gansevoort St-between Greenwich and Washington Sts;New York;Meatpacking District;African: Pan-African;(212-255-8555)
Mesa Grill; 102 Fifth Ave-between 15th and 16th Sts;New York;Gramercy/Flatiron;American Regional;(212-807-7400)
Meskel; 199 E 3rd St-between Ave A & B;New York;East Village;African: Ethiopian;(212-254-2411)
Metro Diet; 141 E 56th St-between Lexington and Third Aves;New York;Midtown East;American;(212-838-2077)
Metro Marché; 625 Eighth Ave-at 41st St;New York;Midtown West;French;(212-239-1010)
MetroCafe & Wine Bar; 32 E 21st St-between Broadway and Park Ave South;New York;Gramercy/Flatiron;American Creative;(212-353-0800)
MetroCafé & Wine Bar; 32 E 21st St-between Broadway and Park Ave South;New York;Gramercy/Flatiron;American Creative;(212-353-0800)
Mexican Radio; 19 Cleveland Pl-between Kenmare and Spring Sts;New York;Chinatown/Little Italy;Mexican;(212-343-0140)
Mexicana Mama; 525 Hudson St-between Charles and W 10th Sts;New York;West Village;Mexican;(212-924-4119)
Mexico Lindo; 459 Second Ave-at 26th St;New York;Gramercy/Flatiron;Mexican;(212-679-3665)
Mezzaluna; 1295 Third Ave-between 74th and 75th Sts;New York;Upper East Side;Italian;(212-535-9600)
Mezzogiorno; 195 Spring St-at Sullivan St;New York;Soho;Italian;(212-334-2112)
Mi Cocina (CLOSED); 57 Jane St-at Hudson St;New York;West Village;Mexican;(212-627-8273)
Mia Dona; 206 E 58th St-between Second and Third Aves;New York;Midtown East;Mediterranean;(212-750-8170)
Michael Jordan’s—The Steak House NYC;Grand Central Terminal -West Balcony23 Vanderbilt Ave;New York;at 43rd St;(212-655-2300);Midtown East
Michael’s; 24 W 55th St-between Fifth and Sixth Aves;New York;Midtown West;American;(212-767-0555)
Mike’s Bistro; 228 W 72nd St-between Broadway and West End Ave;New York;Upper West Side;Kosher;(212-799-3911)
Milant Gourmet Deli; 158 E 39th St-between Lexington and Third Aves;New York;Midtown East;American;(212-682-0111)
Milieu; 601 W 26th St-between Eleventh and Twelfth Aves;New York;Chelsea;American;(212-479-7796)
Milk & Cookies; 19 Commerce St-at Seventh Ave South;New York;West Village;Cafés;(212-243-1640)
Minca; 536 E 5th St-between Aves A and B;New York;East Village;Asian: Pan-Asian;(212-505-8001)
Minetta Tavern; 113 MacDougal St-between Bleecker and W 3rd Sts;New York;Greenwich Village;Eclectic;(212-475-3850)
Mingala Burmese; 1393B Second Ave-between 72nd and 73rd Sts;New York;Upper East Side;Asian: Burmese;(212-744-8008)
Mint; 150 E 50th St-between Lexington and Third Aves;New York;Midtown East;Indian;(212-644-8888)
Miracle Grill;112 First Ave -;New York;;;
Miracle Grill (CLOSED); 112 First Ave-between 6th and 7th Sts;New York;East Village;American Regional;(212-254-2353)
Mishima; 164 Lexington Ave-between 30th and 31st Sts;New York;Midtown East;Japanese;(212-532-9596)
Miss Mamie’s Spoonbread Too; 366 W 110th St-between Manhattan and Columbus Aves;New York;Columbia University–City College;American Regional;(212-865-6744)
Miss Maude’s Spoonbread Too; 547 Malcolm X Blvd (Lenox Ave)-between 137th and 138th Sts;New York;Harlem;American Regional;(212-690-3100)
Mitchel London Pizza; 456 Ninth Ave-between 35th and 36th Sts;New York;Midtown West;Italian: Pizza;(212-563-7741)
Miyagi; 220 W 13th St-between Seventh and Greenwich Aves;New York;West Village;Japanese;(212-620-3830)
Mizu Sushi; 29 E 20th St-between Broadway and Park Ave South;New York;Gramercy/Flatiron;Japanese;(212-505-6688)
Mo Pitkin’s House of Satisfaction (CLOSED); 34 Ave A-between Second and Third Sts;New York;East Village;Eclectic;(212-777-5660)
Moco Global Dining; 516 Third Ave-between 34th and 35th Sts;New York;Midtown East;Eclectic;(212-685-3663)
Moda;Flatotel -135 W 52nd Stbetween Sixth and Seventh Aves;New York;Midtown West;Italian;(212-887-9880)
Moda Outdoors;Flatotel -135 W 52nd Stbetween Sixth and Seventh Aves;New York;Midtown West;Italian;(212-887-9870)
Mofongo Depot; 931 Amsterdam Ave-between 105th and 106th Sts;New York;Upper West Side;Caribbean;(646-707-3904)
Moksha (CLOSED); 18 Murray St-between Broadway and Church St;New York;Financial District;Indian;(212-608-0707)
Molyvos; 871 Seventh Ave-between 55th and 56th Sts;New York;Midtown West;Greek;(212-582-7500)
Molé; 205 Allen St-between Houston and Stanton Sts;New York;Lower East Side;Mexican;(212-777-3200)
